"odata.type","ID","Position","ParentID","Type","Key","Title","Description","MapYear","Datatype","Unit","Decimals","Default","PresentationType"
"Cbs.OData.TopicGroup",22,,6,"TopicGroup","","Bevolking naar herkomst","De bevolking van Nederland op 1 januari.

Bevolking:
De inwoners van Nederland.
In de bevolkingsaantallen zijn uitsluitend personen begrepen die zijn opgenomen in het bevolkingsregister van een Nederlandse gemeente. 
In principe wordt iedereen die voor onbepaalde tijd in Nederland woont, opgenomen in het bevolkingsregister van de woongemeente. Personen die tot de bevolking van Nederland behoren, maar voor wie geen vaste woonplaats valt aan te wijzen, zijn opgenomen in het bevolkingsregister van de gemeente 's-Gravenhage.
In de bevolkingsregisters zijn niet opgenomen de in Nederland wonende personen waarvoor uitzonderingsregels gelden met betrekking tot opneming in de bevolkingsregisters (bijvoorbeeld diplomaten en NAVO militairen) en personen die niet legaal in Nederland verblijven.

Herkomst:
Kenmerk dat weergeeft in welk land iemand geboren is of waar diens ouders geboren zijn.
De herkomst van personen die in het buitenland zijn geboren wordt bepaald door hun eigen geboorteland. Bij personen die in Nederland geboren zijn, wordt de herkomst bepaald door het geboorteland van de ouders. 
Wanneer beide ouders in het buitenland zijn geboren, is het geboorteland van de moeder leidend in het bepalen van de herkomst. De geboortegegevens van de moeder zijn vaker bekend dan die van de vader. Wanneer de moeder in Nederland is geboren of het geboorteland van de moeder onbekend is, dan wordt het geboorteland van de vader gebruikt.
",,,,,,
"Cbs.OData.TopicGroup",23,,22,"TopicGroup","","Herkomstland",,,,,,,
"Cbs.OData.Topic",24,17,23,"Topic","Nederland_17","Nederland",,,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",25,18,23,"Topic","EuropaExclusiefNederland_18","Europa (exclusief Nederland) ","Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",26,19,23,"Topic","BuitenEuropa_19","Buiten Europa ","Totaal herkomst buiten Europa",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",27,,22,"TopicGroup","","Geboren in Nederland",,,,,,,
"Cbs.OData.Topic",28,20,27,"Topic","Nederland_20","Nederland",,,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",29,21,27,"Topic","EuropaExclusiefNederland_21","Europa (exclusief Nederland) ","Geboren in Nederland, herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",30,22,27,"Topic","BuitenEuropa_22","Buiten Europa ","Geboren in Nederland, herkomst buiten Europa.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",31,,22,"TopicGroup","","Geboren buiten Nederland",,,,,,,
"Cbs.OData.Topic",32,23,31,"Topic","EuropaExclusiefNederland_23","Europa (exclusief Nederland)","Geboren buiten Nederland. Herkomst Europa (exclusief Nederland). De landen Armenië, Azerbeidzjan, Georgië, Kazachstan, Kirgizië, Oezbekistan, Tadzjikistan, Turkmenistan en Turkije vallen binnen deze indeling onder Azië.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",33,24,31,"Topic","BuitenEuropa_24","Buiten Europa","Geboren buiten Nederland, herkomst buiten Europa.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",34,,6,"TopicGroup","","Geboorte en sterfte",,,,,,,
"Cbs.OData.Topic",35,25,34,"Topic","GeboorteTotaal_25","Geboorte totaal","Het aantal levendgeborenen van 1 januari tot en met 31 december van het betreffende jaar. Levendgeborenen zijn kinderen die na geboorte enig teken van leven hebben vertoond, ongeacht de zwangerschapsduur.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",36,26,34,"Topic","GeboorteRelatief_26","Geboorte relatief","Het aantal levendgeborenen van 1 januari tot en met 31 december, per 1 000 inwoners op 1 januari van het betreffende jaar.
Het relatieve aantal geboorten kan hoger uitvallen dan verwacht op basis van het inwonertal. Het relatieve cijfer betreft namelijk het aantal geboorten gedurende het jaar ten opzichte van het aantal inwoners op 1 januari. In nieuwbouwwijken kan het aantal inwoners sterk groeien in een jaar. Zo kunnen er in 1 jaar 10 kinderen geboren worden in een wijk waarin op 1 januari slechts 10 inwoners wonen, maar aan het eind van het jaar bijvoorbeeld 200 inwoners. Waarden voor wijken en buurten met minder dan 10 inwoners en een aantal geboorten ongelijk aan nul zijn op onbekend gezet.",,"Long","per 1 000 inwoners",0,"Impossible","Relative"
"Cbs.OData.Topic",37,27,34,"Topic","SterfteTotaal_27","Sterfte totaal","Alle overledenen van 1 januari tot en met 31 december van het betreffende jaar waarbij een bevoegde arts een overlijdensakte heeft ondertekend.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",38,28,34,"Topic","SterfteRelatief_28","Sterfte relatief","Het aantal overledenen van 1 januari tot en met 31 december, per 1 000 inwoners op 1 januari van het betreffende jaar.
Het relatieve aantal overledenen kan hoger uitvallen dan verwacht op basis van het inwonertal. Het relatieve cijfer betreft namelijk het aantal overledenen gedurende het jaar ten opzichte van het aantal inwoners op 1 januari. In een buurt met een verpleeghuis kunnen op 1 januari 100 mensen wonen, maar door overlijdensgevallen komen er steeds nieuwe inwoners (bewoners van het verpleeghuis). Zo kan het aantal overlijdensgevallen ook 100 zijn, terwijl er inmiddels al vele mensen in die buurt (of dat verpleeghuis) hebben gewoond. Waarden voor wijken en buurten met minder dan 10 inwoners en een aantal sterften ongelijk aan nul zijn op onbekend gezet.",,"Long","per 1 000 inwoners",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",39,,6,"TopicGroup","","Particuliere huishoudens","Betreft de huishoudens op 1 januari. 
Particuliere huishoudens bestaan uit één of meer personen die alleen of samen in een woonruimte zijn gehuisvest en zelf in hun dagelijks onderhoud voorzien. Naast eenpersoonshuishoudens onderscheiden we meerpersoonshuishoudens (niet-gehuwde paren, niet-gehuwde paren met kinderen, echtparen, echtparen met kinderen, eenouderhuishoudens en overige huishoudens). De institutionele huishoudens worden hiertoe niet gerekend.",,,,,,
"Cbs.OData.Topic",40,29,39,"Topic","HuishoudensTotaal_29","Huishoudens totaal","Totaal particuliere huishoudens.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",41,30,39,"Topic","Eenpersoonshuishoudens_30","Eenpersoonshuishoudens","Een particulier huishouden bestaande uit één persoon.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",42,31,39,"Topic","HuishoudensZonderKinderen_31","Huishoudens zonder kinderen","Meerpersoonshuishoudens zonder kinderen bestaan uit niet-gehuwde paren zonder kinderen, echtparen zonder kinderen en overige huishoudens.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",43,32,39,"Topic","HuishoudensMetKinderen_32","Huishoudens met kinderen","Meerpersoonshuishoudens met kinderen bestaan uit niet-gehuwde paren met kinderen, echtparen met kinderen en eenouderhuishoudens.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",44,33,39,"Topic","GemiddeldeHuishoudensgrootte_33","Gemiddelde huishoudensgrootte","Dit gemiddelde is berekend als het aantal in particuliere huishoudens levende personen gedeeld door het aantal particuliere huishoudens.",,"Double","aantal",1,"Impossible","Absolute"
"Cbs.OData.Topic",45,34,6,"Topic","Bevolkingsdichtheid_34","Bevolkingsdichtheid","Het (niet afgeronde) aantal inwoners per km² land is bepaald door het (niet afgeronde) aantal inwoners op 1 januari te delen door de (niet afgeronde) landoppervlakte. 
De bevolkingsdichtheid is opgenomen indien er 10 of meer inwoners in de buurt voorkomen.

",,"Long","aantal inwoners per km²",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",46,,,"TopicGroup","","Wonen",,,,,,,
"Cbs.OData.Topic",47,35,46,"Topic","Woningvoorraad_35","Woningvoorraad","Het totale aantal woningen op 1 januari van het desbetreffende jaar. Een woning is een verblijfsobject met minimaal een woonfunctie en eventueel één of meer andere gebruiksfuncties.",,"Long","aantal",0,"Impossible","Absolute"
"Cbs.OData.Topic",48,36,46,"Topic","GemiddeldeWOZWaardeVanWoningen_36","Gemiddelde WOZ-waarde van woningen","Voor de bepaling van de gemiddelde WOZ-waarde van woningen wordt alleen gebruik gemaakt van BAG-objecten met een woonfunctie waarvoor een WOZ-waarde bekend is en die tussen de 10 duizend en de 5 miljoen euro ligt. 

Er wordt geen gemiddelde WOZ-waarde bepaald voor een regio als:
-	de woningvoorraad kleiner is dan 20 woningen
-	er voor minder dan 20 woningen een WOZ-waarde bekend is
-	er voor minder dan 85 procent van de woningen een WOZ-waarde bekend is.

De (voorlopig) gemiddelde woningwaarde wordt bepaald met de waardepeildatum van voorgaand jaar, bijv:
- 2023: waardepeildatum 1 januari 2022

Het betreft nader voorlopige cijfers.
",,"Long","x 1 000 euro",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",49,,46,"TopicGroup","","Woningen naar type","Er worden twee typen woningen onderscheiden, eengezins en meergezins. Een woning heeft het type meergezins wanneer het samen met andere woningen of (bedrijfs)ruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voorzover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur. Alle overige woningen hebben het type eengezins.",,,,,,
"Cbs.OData.Topic",50,37,49,"Topic","PercentageEengezinswoning_37","Percentage eengezinswoning","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal eengezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Eengezinswoning: Elke woning die tevens een geheel pand vormt. Hieronder vallen vrijstaande woningen, aaneengebouwde woningen, zoals twee onder één kap gebouwde hele huizen, boerderijen met woningen en voorts alle rijenhuizen.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",51,38,49,"Topic","PercentageMeergezinswoning_38","Percentage meergezinswoning","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal meergezinswoningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Meergezinswoning : Elke woning die samen met andere woonruimten c.q. bedrijfsruimten een geheel pand vormt. Hieronder vallen flats, galerij-, portiek-, beneden- en bovenwoningen, appartementen en woningen boven bedrijfsruimten, voor zover deze zijn voorzien van een buiten de bedrijfsruimte gelegen toegangsdeur.

",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",52,,46,"TopicGroup","","Woningen naar bewoning","Een woning is bewoond als er volgens de Basisregistratie Personen (BRP) op peildatum 1 januari minimaal 1 persoon stond ingeschreven op het bijbehorende adres. Alle overige woningen, die wel voor bewoning beschikbaar zijn, worden beschouwd als onbewoond.",,,,,,
"Cbs.OData.Topic",53,39,52,"Topic","PercentageBewoond_39","Percentage bewoond","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal bewoonde woningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Bewoonde woningen: Woningen waar op de peildatum 1 januari minimaal 1 persoon stond ingeschreven in de Basisregistratie Personen (BRP).
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",54,40,52,"Topic","PercentageOnbewoond_40","Percentage onbewoond","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal leegstaande woningen is vermeld als percentage van de totale woningvoorraad en wordt alleen vermeld bij minimaal 20 woningen.
Niet-bewoonde woningen: Woningen waar op de peildatum 1 januari niemand stond ingeschreven in de Basisregistratie Personen (BRP).

",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",55,,46,"TopicGroup","","Woningen naar eigendom","Informatie over huur- en koopwoningen wordt samengesteld uit een koppeling tussen verschillende bronnen.",,,,,,
"Cbs.OData.Topic",56,41,55,"Topic","Koopwoningen_41","Koopwoningen","Woningen die eigendom zijn van de (toekomstige) bewoner(s) of in gebruik als tweede woning. 

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",57,,55,"TopicGroup","","Huurwoningen","Woningen die niet bewoond worden door de eigenaar van de woning. Bij woningen waar geen bewoner geregistreerd is, gaat het om woningen waarvan het aannemelijk is dat de woning bestemd is voor de huurmarkt.",,,,,,
"Cbs.OData.Topic",58,42,57,"Topic","HuurwoningenTotaal_42","Huurwoningen totaal","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",59,43,57,"Topic","InBezitWoningcorporatie_43","In bezit woningcorporatie","Huurwoningen in eigendom van 'toegelaten instellingen volkshuisvesting'. Het betreft het aantal huurwoningen waarvan is vastgesteld dat de eigenaar een toegelaten instelling is. Het betreft niet het aantal sociale huurwoningen, omdat er alleen is vastgesteld wie de eigenaar is en er niet is gekeken naar de hoogte van de huurprijs.
Toegelaten instellingen: woningbouwvereniging, woningstichting, woningcorporatie. 
Sociale huurwoningen: woningen met een huur onder de liberalisatiegrens.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",60,44,57,"Topic","InBezitOverigeVerhuurders_44","In bezit overige verhuurders","Een huurwoning in eigendom van onder andere bedrijven, particulieren en institutionele beleggers. Huurwoningen waarvan het eigendom wel kon worden vastgesteld maar de eigenaar niet vallen hier ook onder. 
Bedrijven: alle instellingen met een bedrijfsmatig karakter zoals bv's en nv's, zelfstandige ondernemers, makelaars en vastgoedhandelsmaatschappijen.
Particulieren: alle natuurlijke personen.
Institutionele beleggers: pensioenfondsen, beurs-, beleggings- en verzekeringsmaatschappijen.

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.

",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",61,45,55,"Topic","EigendomOnbekend_45","Eigendom onbekend","Woningen waarvan het eigendom niet afgeleid kon worden op basis van diverse registraties zoals het WOZ-register, Personenregister en het woningbestand Kadaster. 

Peildatum: 1 januari van het desbetreffende jaar.
Het aantal is vermeld als percentage van het totaal aantal woningen en vermeld bij 20 woningen of meer per buurt en wanneer het aandeel woningen met eigendom onbekend 50 procent of minder bedroeg.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",62,,46,"TopicGroup","","Woningen naar bouwjaar","De aanduiding van het bouwjaar van een pand, waarin een woning zich bevindt. Oorspronkelijk als het pand bouwkundig gereed is of wordt opgeleverd. Latere wijziging aan een pand leidt niet tot wijziging van het bouwjaar. Bij een verblijfobject dat in meerdere panden is gelegen, wordt het oudste bouwjaar genomen.
De bouwjaarklasse heeft hier twee waarden: 
1) in of na het jaar 2000 gebouwd; 
2) vóór het jaar 2000 gebouwd.
",,,,,,
"Cbs.OData.Topic",63,46,62,"Topic","BouwjaarVoor2000_46","Bouwjaar voor 2000","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar vóór 2000, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.Topic",64,47,62,"Topic","BouwjaarVanaf2000_47","Bouwjaar vanaf 2000","Peildatum: 1 januari van het desbetreffende jaar.
Het aantal woningen met bouwjaar 2000 of later, uitgedrukt in hele procenten van het totaal aantal woningen. Het percentage is vermeld bij 20 woningen of meer per buurt.
",,"Long","%",0,"Impossible","Relative"
"Cbs.OData.TopicGroup",65,,,"TopicGroup","","Energie",,,,,,,
"Cbs.OData.TopicGroup",66,,65,"TopicGroup","","Gemiddelde elektriciteitslevering","De gemiddelde jaarlevering van elektriciteit op individuele aansluitingen van particuliere woningen op het openbare elektriciteitsnet, zoals berekend vanuit de aansluitingenregisters van de netbedrijven. Collectieve elektriciteitsleveringen aan bijvoorbeeld liftinstallaties of hal-/galerijverlichting zijn niet meegeteld bij de berekening. 

De cijfers zijn afgerond op tientallen en vermeld bij zes of meer (bewoonde) woningen per woningtype of type eigendom.
",,,,,,
"Cbs.OData.Topic",67,48,66,"Topic","GemiddeldeElektriciteitsleveringTotaal_48","Gemiddelde elektriciteitslevering totaal","De gemiddelde elektriciteitslevering voor alle woningtypen samen.",,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",68,,66,"TopicGroup","","Naar woningtype","De volgende typen worden onderscheiden: appartement, tussenwoning, hoekwoning, twee-onder-één-kap-woning en vrijstaande woning. 
De typering wordt bepaald door het Kadaster.
",,,,,,
"Cbs.OData.Topic",69,49,68,"Topic","Appartement_49","Appartement","Een geheel van bij elkaar horende vertrekken als afzonderlijke woongelegenheid binnen een grotere woning waarbij de opdeling van het gebouw heeft plaatsgevonden volgens het appartementsrecht. Een bovenwoning of flat die geen appartement is wordt niet meegenomen bij het berekenen van de verbruikscijfers.",,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.Topic",70,50,68,"Topic","Tussenwoning_50","Tussenwoning",,,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.Topic",71,51,68,"Topic","Hoekwoning_51","Hoekwoning",,,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.Topic",72,52,68,"Topic","TweeOnderEenKapWoning_52","Twee-onder-één-kap-woning",,,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.Topic",73,53,68,"Topic","VrijstaandeWoning_53","Vrijstaande woning",,,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.TopicGroup",74,,66,"TopicGroup","","Naar eigendom","De volgende typen worden onderscheiden: huur- of koopwoning.  Deze informatie wordt samengesteld uit een koppeling tussen de Basisregistratie Adressen en Gebouwen (BAG) en het WOZ-register met een aanvulling uit het woningbestand van het Kadaster.",,,,,,
"Cbs.OData.Topic",75,54,74,"Topic","Huurwoning_54","Huurwoning","Woningen in eigendom van 'toegelaten instellingen' (woningcorporaties), van institutionele beleggers of van particulieren die de woning verhuren aan de bewoner.",,"Long","kWh",0,"Impossible","Absolute"
"Cbs.OData.Topic",76,55,74,"Topic","EigenWoning_55","Eigen woning","Woningen die eigendom zijn of worden van de (toekomstige) bewoners.",,"Long","kWh",0,"Impossible","Absolute"
